Chinese,Java
包括,import
包含,import
括,import
包,import
包罗,import
输入输出,"java,io.*"
基本结构,java.util.*
类,Class
实例,Instance
静态,static
私有,private
公有,public
公开,public
常亮,final
终,final
保护,protected
护,protected
抽象,abstract
抽象类,abstract
衍生,implement
继承,implement
空,void
无,void
属于类型,instanceof
整数,int
数,int
号码,int
号,int
文字,String
文,String
字符串,String
串,String
字节,char
字符,char
单个字符,char
真假,boolean
浮点,double
浮,double
长数,long
长,long
排列,Array
队列,Array
组,Array
短数,short
短,short
短浮点,float
短浮,float
随机,Math.random()
范围,range
更大,Math.max
更小,Math.min
最大整数,Integer.MAX_VALUE
最小整数,Integer.MIN_VALUE
标准输出,System.out.println
