Italian,python
Vero,True
Falso,False
Niente,None
NonImplementato,NotImplemented
Ellissi,Ellipsis
__controllaerrori__,__debug__
__debug__,debug__
chiudi,quit
esci,exit
copyright,copyright
dirittid'autore,copyright
riconoscimenti,credits
licenza,license
e,and
and_logico,and
come,as
assumi,assert
asincrono,async
aspetta,await
interrompi,break
stacca,break
classe,class
continua,continue
def,def
definizione,def
cancella,del
altrimenti_se,elif
sennò_se,elif
altrimenti,else
se_no,else
eccetto,except
infine,finally
per,for
da,from
globale,global
se,if
importa,import
in,in
è,is
lambda,lambda
nonlocale,nonlocal
non,not
oppure,or
or_logico,or
passa,pass
accenna,raise
avverti,raise
segnala,raise
eroga,return
ritorna,return
prova,try
finché,while
fintantoché,while
con,with
risulta,yield
__peg_parser__,__peg_parser__
EccezioneBase,BaseException
SistemaCessazione,SystemExit
BloccoTastiera,KeyboardInterrupt
GeneratoreCessazione,GeneratorExit
Eccezione,Exception
AltIterazione,StopIteration
FermataIterazione,StopIteration
AltIterazioneAsincrona,StopAsyncIteration
FermataIterazioneAsincrona,StopAsyncIteration
ErroreAritmetico,ArithmeticError
ErroreVirgolaMobile,FloatingPointError
ErroreOverflow,OverflowError
ErroreDivisionePerZero,ZeroDivisionError
ErroreAssunzione,AssertionError
ErroreAttributo,AttributeError
ErroreBuffer,BufferError
ErroreTampone,BufferError
ErroreEOF,EOFError
ErroreFineLinea,EOFError
ErroreImporto,ImportError
ErroreModuloNonTrovato,ModuleNotFoundError
ErroreCerca,LookupError
ErroreRicerca,LookupError
ErroreIndice,IndexError
ErroreChiave,KeyError
ErroreMemoria,MemoryError
ErroreNome,NameError
ErroreScioltaLocale,UnboundLocalError
ErroreAmbiente,OSError
ErroreSistemaOperativo,OSError
ErroreBloccoIO,BlockingIOError
ErroreEsecuzioneSuccessiva,ChildProcessError
ErroreCollegamento,ConnectionError
ErroreLineaInterrotta,BrokenPipeError
ErroreCollegamentoStaccato,ConnectionAbortedError
ErroreAccessoVietato,ConnectionRefusedError
ErroreResettareCollegamento,ConnectionResetError
ErroreFileEsistente,FileExistsError
ErroreFileNonTrovato,FileNotFoundError
ErroreInterotto,InterruptedError
ErroreTronco,InterruptedError
ErroreÈUnaDirectory,IsADirectoryError
ErroreNonUnaDirectory,NotADirectoryError
ErrorePermesso,PermissionError
ErroreEsecuzioneCerca,ProcessLookupError
ErroreEsecuzioneRicerca,ProcessLookupError
ErroreTimeout,TimeoutError
ErroreTrasgressioneTempo,TimeoutError
ErroreReferenza,ReferenceError
ErroreDurataEsecuzione,RuntimeError
ErroreRuntime,RuntimeError
ErroreNonImplementato,NotImplementedError
ErroreRicorsione,RecursionError
ErroreSintassi,SyntaxError
ErroreIndentazione,IndentationError
ErroreTabulatore,TabError
ErroreSistema,SystemError
ErroreTipo,TypeError
ErroreValore,ValueError
ErroreUnicode,UnicodeError
ErroreDecodificareUnicode,UnicodeDecodeError
ErroreCodificareUnicode,UnicodeEncodeError
ErroreTradurreUnicode,UnicodeTranslateError
Avviso,Warning
AvvisoDecrepito,DeprecationWarning
AvvisoInAttesaDecrepito,PendingDeprecationWarning
AvvisoDurataEsecuzione,RuntimeWarning
AvvisoRuntime,RuntimeWarning
AvvisoSintassi,SyntaxWarning
AvvisoUser,UserWarning
AvvisoUtente,UserWarning
AvvisoFuturo,FutureWarning
AvvisoImporto,ImportWarning
AvvisoUnicode,UnicodeWarning
AvvisoBytes,BytesWarning
AvvisoFonte,ResourceWarning
AvvisoRisorsi,ResourceWarning
assoluto,abs
tutti,all
qualsiasi,any
ascii,ascii
binario,bin
booleano,bool
breakpoint,breakpoint
punto_interruzione,breakpoint
bytearray,bytearray
bytes,bytes
chiamabile,callable
carattere,chr
metodoclasse,classmethod
compila,compile
complesso,complex
cancellaattr,delattr
dizionario,dict
directory,dir
divisionecompleta,divmod
divmod,divmod
elenca,enumerate
enumera,enumerate
analizza,eval
valuta,eval
esegui,exec
filtra,filter
reale,float
virgolamobile,float
formatta,format
insiemefisso,frozenset
ottieniattr,getattr
globali,globals
ha_attr,hasattr
hash,hash
aiuto,help
assistenza,help
esadecimale,hex
id,id
input,input
intero,int
èistanza,isinstance
èsottoclasse,issubclass
iterabile,iter
lunghezza,len
lista,list
locali,locals
map,map
massimo,max
vedutamemoria,memoryview
minimo,min
prossimo,next
oggetto,object
ottale,oct
apri,open
ord,ord
codiceascii,ord
potenza,pow
stampa,print
caratteristica,property
proprietà,property
gamma,range
intervallo,range
repr,repr
inverso,reversed
rovescio,reversed
arrotonda,round
insieme,set
impostaattr,setattr
slice,slice
ordinato,sorted
metodostatico,staticmethod
stringa,str
somma,sum
super,super
tupla,tuple
tipo,type
variabli,vars
zip,zip
__import__,__import__
parolachiave.lista,keyword.kwlist
parolachiave.èparolachiave,keyword.iskeyword
