Italiano,cpp
includi,#include
iocorrente,iostream
usa,using
usando,using
gruppo_dei_nomi,namespace
std,std
standard,std
int,int
intero,int
principale,main
cdentro,cin
cfuori,cout
per,for
stringa,string
testo,string
carattere,char
reale,float
doppia_precisione,double
se,if
oppure,else
vero,true
falso,false
mentre,while
fare,do
fai,do
se,switch
cambiare,switch
file_corrente,fstream
ingresso_file_corrente,ifstream
uscita_file_corrente,ofstream
apri,open
chiudi,close
ritorna,return
classe,class
struttura,struct
privato,private
pubblico,public
protetto,protected
vettore,vector
tipo_definito,typedef
definisci_tipo,typedef
coppia,pair
serie,set
multiserie,multiset
pila,stack
fila,queue
filaprioritaria,priority_queue
mappa,map
mappa_disordinata,unordered_map
algoritmo,algorithm
ordina,sort
cerca,find
minimo,min
massimo,max
soffitto,ceil
pavimento,floor
variabile_larga,long
larga larga,long long
potenza,power
termine_linea,endl
and_logico,and
continua,continue
corto,short
dimensione_di,sizeof
modello,template
xor_logico,xor
prova,try
tira,throw
questo,this
tipo_di_nome,typename
tipo_di_id,typeid
tipo_definito,typedef
senza_segno,unsigned
vuoto,void
vacante,void
NULLO,NULL
funzione,function
