Japanese,cpp
整数,int
インテジャー,int
文字,char
字,char
キャラクター,char
ブーリアン,bool
フロート,float
ダブル,double
ストリング,string
真,true
正,true
ツルー,true
偽,false
フォルス,false
非公開,private
プライベート,private
公開,public
パブリック,public
プロテクテッド,protected
入れる,#include
インクルード,#include
ストリーム,iostream
マス,cmath
使う,using
名前空間,namespace
ネームスペース,namespace
標準,std
スタンダード,std
メイン,main
プラス,+
足す,+
マイナス,-
引く,-
タイムス,*
掛ける,*
デバイド,/
分ける,/
パーセント,%
小さい,<
小,<
大きい,>
大,>
同じ,=
イコール,=
ではない,!
ノット,!
と,&&
アンド,&&
か,||
オア,||
入れる,cin
イン,cin
出す,cout
アウト,cout
終わり,endl
終了,endl
エンド,endl
もし,if
イフ,if
他,else
エルス,else
スイッチ,switch
ために,for
フォー,for
ながら,while
ワイル,while
やる,do
デゥ,do
コサイン,cos
コス,cos
サイン,sin
タンジェント,tan
タン,tan
指数,exp
エクスポーネント,exp
ログ,log
パワー,power
平方根,sqrt
ルート,sqrt
スクエアールート,sqrt
絶対値,abs
アブソルート,abs
天井,ceil
シーリング,ceil
床,floor
フロア,floor
