Portuguese,Java
importe,import
importar,import
importacao,import
java.io,"java,io.*"
java.util,java.util.*
Classe,Class
Instancia,Instance
estatico,static
privado,private
publico,public
final,final
termino,final
protegido,protected
abstrato,abstract
implemente,implement
implementar,implement
vazio,void
instancia_de,instanceof
int,int
inteiro,int
Cadeia,String
Cadeia_de_caracteres,String
caracter,char
booleano,boolean
duplo,double
dobro,double
longo,long
extenso,long
vetor,Array
lista,Array
curto,short
pequeno,short
flutuante,float
aleatorio,Math.random()
intervalo,range
maximo,Math.max
minimo,Math.min
maximo_inteiro,Integer.MAX_VALUE
minimo_inteiro,Integer.MIN_VALUE
print,System.out.println
exibir,System.out.println
