Spanish,cpp
incluir,#include
incluye,#include
iocorriente,iostream
usar,using
usando,using
grupodenombres,namespace
estd,std
estandar,std
ent,int
entero,int
princpl,main
principal,main
cen,cin
cdentro,cin
cfuera,cout
para,for
cuerda,string
texto,string
letra,char
flotar,float
doble,double
si,if
o,else
verdad,true
falso,false
mientras,while
hacer,do
haga,do
cambiar,switch
fcorriente,fstream
enfcorriente,ifstream
efcorriente,ifstream
ifcorriente,ifstream
ffcorriente,ofstream
ofcorriente,ofstream
fuerafcorriente,ofstream
abrir,open
cerrar,close
regresa,return
clase,class
estruct,struct
privado,private
publico,public
proteger,protected
protegido,protected
protegida,protected
vector,vector
typodef,typedef
deftypo,typedef
par,pair
serie,set
multiserie,multiset
apilar,stack
fila,queue
cola,queue
prioridad_fila,priority_queue
prioridad_cola,priority_queue
mapa,map
mapa_desordenada,unordered_map
algoritmo,algorithm
ordenar,sort
buscar,find
min,min
max,max
techo,ceil
piso,floor
larga,long
largo,long
larga larga,long long
largo largo,long long
larga largo,long long
largo larga,long long
exp,power
terml,endl
y,and
continua,continue
corto,short
tamanode,sizeof
plantilla,template
xo,xor
calar,try
tirar,throw
esto,this
typonom,typename
typoid,typeid
typodef,typedef
sinsena,unsigned
vacia,void
vacio,void
NULO,NULL
funcion,function
